<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	19:45:00	3214.00	3220.75	3214.00	3219.64	2209	0	4
2025.05.01	20:00:00	3219.69	3220.66	3216.54	3219.46	1939	0	4
2025.05.01	20:15:00	3219.46	3220.99	3214.14	3216.19	2279	0	4
2025.05.01	20:30:00	3216.16	3216.49	3209.84	3211.25	1895	0	4
2025.05.01	20:45:00	3211.25	3215.92	3210.14	3214.59	1679	0	4
2025.05.01	21:00:00	3214.59	3217.91	3212.97	3217.47	1370	0	4
2025.05.01	21:15:00	3217.43	3218.98	3214.83	3216.98	1712	0	4
2025.05.01	21:30:00	3217.00	3226.77	3216.31	3225.66	2257	0	4
2025.05.01	21:45:00	3225.66	3226.92	3223.73	3223.92	1327	0	4
2025.05.01	22:00:00	3223.92	3226.92	3223.92	3225.81	1291	0	4
2025.05.01	22:15:00	3225.81	3226.91	3224.37	3225.87	1067	0	4
2025.05.01	22:30:00	3225.87	3229.80	3224.84	3228.82	1465	0	4
2025.05.01	22:45:00	3228.85	3229.69	3225.57	3228.20	1795	0	4
2025.05.01	23:00:00	3228.34	3235.64	3228.09	3235.63	1379	0	4
2025.05.01	23:15:00	3235.71	3236.83	3230.27	3230.76	1034	0	4
2025.05.01	23:30:00	3230.72	3239.59	3230.18	3239.07	998	0	4
2025.05.01	23:45:00	3239.07	3239.59	3234.81	3237.99	1134	0	20
