<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.20	23:15:00	3045.47	3045.47	3044.32	3044.83	575	0	4
2025.03.20	23:30:00	3044.73	3045.87	3044.66	3045.18	596	0	4
2025.03.20	23:45:00	3045.06	3045.31	3044.17	3044.57	351	0	20
2025.03.21	01:00:00	3044.28	3045.06	3043.87	3044.36	286	0	11
2025.03.21	01:15:00	3044.36	3044.94	3043.56	3044.40	236	0	11
2025.03.21	01:30:00	3044.40	3044.54	3043.94	3044.04	150	0	9
2025.03.21	01:45:00	3044.01	3046.33	3043.51	3046.03	255	0	8
2025.03.21	02:00:00	3046.03	3046.29	3045.01	3045.99	333	0	8
2025.03.21	02:15:00	3045.99	3046.07	3044.70	3044.73	228	0	8
2025.03.21	02:30:00	3044.63	3045.63	3044.48	3045.15	387	0	8
2025.03.21	02:45:00	3045.15	3046.69	3045.15	3046.45	545	0	8
2025.03.21	03:00:00	3046.45	3047.47	3044.49	3044.61	778	0	8
2025.03.21	03:15:00	3044.62	3044.63	3042.30	3043.76	619	0	8
2025.03.21	03:30:00	3043.76	3044.78	3042.69	3043.74	561	0	8
2025.03.21	03:45:00	3043.75	3043.79	3042.61	3042.82	592	0	8
2025.03.21	04:00:00	3042.83	3044.58	3042.07	3042.71	1805	0	9
2025.03.21	04:15:00	3042.71	3043.87	3040.75	3042.10	1183	0	8
2025.03.21	04:30:00	3042.07	3043.32	3038.29	3038.30	1236	0	8
2025.03.21	04:45:00	3038.29	3038.66	3035.71	3035.74	1801	0	8
2025.03.21	05:00:00	3035.79	3036.98	3034.63	3035.59	1548	0	8
2025.03.21	05:15:00	3035.58	3035.77	3034.23	3035.11	1109	0	8
2025.03.21	05:30:00	3035.15	3035.42	3033.86	3034.50	1433	0	8
2025.03.21	05:45:00	3034.50	3035.83	3033.80	3034.61	1251	0	8
2025.03.21	06:00:00	3034.60	3034.63	3031.20	3031.58	1568	0	8
2025.03.21	06:15:00	3031.63	3032.30	3030.25	3030.66	1221	0	8
2025.03.21	06:30:00	3030.66	3031.90	3029.83	3030.95	971	0	8
2025.03.21	06:45:00	3030.95	3032.84	3030.23	3030.55	947	0	8
2025.03.21	07:00:00	3030.54	3032.15	3029.16	3031.24	990	0	8
2025.03.21	07:15:00	3031.24	3031.70	3029.93	3030.87	843	0	8
2025.03.21	07:30:00	3030.84	3031.68	3030.49	3031.57	623	0	8
2025.03.21	07:45:00	3031.64	3031.92	3027.88	3029.88	1067	0	8
2025.03.21	08:00:00	3029.88	3030.36	3027.00	3027.44	677	0	8
2025.03.21	08:15:00	3027.44	3028.19	3026.63	3027.12	944	0	8
2025.03.21	08:30:00	3027.15	3027.77	3020.53	3024.93	1940	0	8
2025.03.21	08:45:00	3024.97	3029.46	3024.12	3028.13	1749	0	8
2025.03.21	09:00:00	3028.13	3032.77	3027.58	3030.97	1851	0	4
2025.03.21	09:15:00	3031.00	3032.10	3030.60	3031.49	1093	0	4
2025.03.21	09:30:00	3031.49	3034.04	3031.19	3032.35	1367	0	4
2025.03.21	09:45:00	3032.36	3032.58	3028.20	3029.78	1484	0	4
2025.03.21	10:00:00	3029.78	3032.63	3028.13	3031.60	1428	0	4
2025.03.21	10:15:00	3031.59	3032.40	3029.51	3032.21	1364	0	4
2025.03.21	10:30:00	3032.21	3033.43	3030.20	3031.38	1215	0	4
2025.03.21	10:45:00	3031.38	3032.16	3029.70	3032.16	1146	0	4
2025.03.21	11:00:00	3032.21	3034.87	3029.62	3030.18	1733	0	4
2025.03.21	11:15:00	3030.18	3030.29	3027.02	3028.88	1583	0	4
2025.03.21	11:30:00	3028.86	3033.78	3028.19	3033.59	1674	0	4
2025.03.21	11:45:00	3033.52	3034.46	3032.40	3032.88	1398	0	4
2025.03.21	12:00:00	3032.88	3033.02	3027.71	3030.03	1677	0	4
2025.03.21	12:15:00	3029.99	3031.63	3029.20	3030.83	1451	0	4
2025.03.21	12:30:00	3030.80	3031.04	3028.59	3029.06	1296	0	4
2025.03.21	12:45:00	3029.03	3030.34	3028.40	3029.64	1030	0	4
2025.03.21	13:00:00	3029.61	3033.42	3029.53	3032.66	1519	0	4
2025.03.21	13:15:00	3032.66	3033.29	3031.91	3032.05	957	0	4
2025.03.21	13:30:00	3031.99	3032.81	3030.46	3032.12	1068	0	4
2025.03.21	13:45:00	3032.11	3033.42	3030.75	3030.75	1065	0	4
2025.03.21	14:00:00	3030.72	3032.20	3028.85	3032.19	1305	0	4
2025.03.21	14:15:00	3032.13	3032.35	3030.10	3031.48	1116	0	4
2025.03.21	14:30:00	3031.50	3034.88	3030.08	3034.79	1518	0	4
2025.03.21	14:45:00	3034.77	3037.66	3032.72	3034.27	1994	0	4
2025.03.21	15:00:00	3034.26	3038.02	3033.82	3035.62	2011	0	4
2025.03.21	15:15:00	3035.62	3036.26	3033.97	3035.29	1648	0	4
2025.03.21	15:30:00	3035.27	3036.15	3033.47	3034.74	1517	0	4
2025.03.21	15:45:00	3034.76	3038.22	3033.79	3034.09	1922	0	4
2025.03.21	16:00:00	3034.10	3036.90	3033.15	3035.92	1908	0	4
2025.03.21	16:15:00	3035.98	3036.57	3029.47	3029.83	2479	0	4
2025.03.21	16:30:00	3029.53	3029.91	3013.50	3014.79	4683	0	7
2025.03.21	16:45:00	3014.77	3016.20	3004.15	3006.76	4607	0	5
2025.03.21	17:00:00	3006.54	3007.50	2999.35	3003.75	4639	0	4
2025.03.21	17:15:00	3003.75	3009.73	3000.58	3008.18	3837	0	4
2025.03.21	17:30:00	3008.18	3011.14	3005.67	3009.60	3141	0	4
2025.03.21	17:45:00	3009.59	3016.74	3009.51	3015.76	3204	0	4
2025.03.21	18:00:00	3015.82	3017.88	3013.42	3013.86	2712	0	4
2025.03.21	18:15:00	3013.83	3017.08	3012.87	3014.07	2123	0	4
2025.03.21	18:30:00	3013.99	3014.50	3010.06	3013.42	2359	0	4
2025.03.21	18:45:00	3013.36	3014.04	3010.62	3011.07	2164	0	4
2025.03.21	19:00:00	3011.10	3015.54	3010.70	3014.13	2130	0	4
2025.03.21	19:15:00	3014.08	3016.07	3012.98	3014.91	1933	0	4
2025.03.21	19:30:00	3014.61	3016.90	3013.18	3013.62	1731	0	4
2025.03.21	19:45:00	3013.66	3016.45	3013.42	3015.19	1287	0	4
2025.03.21	20:00:00	3015.22	3017.95	3014.63	3017.04	1320	0	4
2025.03.21	20:15:00	3017.04	3018.24	3014.92	3015.51	1669	0	4
2025.03.21	20:30:00	3015.56	3016.17	3015.00	3015.15	1048	0	4
2025.03.21	20:45:00	3015.01	3016.00	3013.02	3013.85	1424	0	4
2025.03.21	21:00:00	3013.87	3016.03	3013.55	3015.77	981	0	4
2025.03.21	21:15:00	3015.77	3019.51	3015.38	3018.90	1279	0	4
2025.03.21	21:30:00	3018.88	3021.50	3018.88	3020.53	1090	0	4
2025.03.21	21:45:00	3020.53	3021.31	3017.31	3017.57	1338	0	4
2025.03.21	22:00:00	3017.57	3021.35	3016.09	3020.98	1396	0	4
2025.03.21	22:15:00	3021.02	3022.02	3019.76	3020.53	1120	0	4
2025.03.21	22:30:00	3020.54	3021.37	3019.65	3020.53	1114	0	4
2025.03.21	22:45:00	3020.52	3021.02	3019.52	3019.84	1143	0	4
2025.03.21	23:00:00	3019.94	3021.43	3019.92	3021.17	628	0	4
2025.03.21	23:15:00	3021.17	3023.44	3020.92	3023.34	630	0	4
2025.03.21	23:30:00	3023.36	3024.10	3022.96	3023.11	503	0	4
2025.03.21	23:45:00	3022.94	3024.45	3021.37	3023.66	591	0	19
2025.03.24	01:00:00	3022.25	3024.97	3021.70	3024.54	908	0	10
2025.03.24	01:15:00	3024.53	3025.92	3023.84	3024.26	767	0	11
2025.03.24	01:30:00	3024.18	3024.85	3022.49	3024.63	531	0	10
2025.03.24	01:45:00	3024.62	3026.09	3024.47	3025.54	528	0	9
2025.03.24	02:00:00	3025.56	3025.56	3023.26	3025.14	835	0	8
2025.03.24	02:15:00	3025.10	3026.44	3024.78	3024.80	459	0	8
2025.03.24	02:30:00	3024.80	3025.79	3024.33	3025.74	341	0	8
2025.03.24	02:45:00	3025.74	3026.15	3024.72	3024.72	521	0	8
2025.03.24	03:00:00	3024.65	3025.49	3023.25	3024.02	787	0	8
2025.03.24	03:15:00	3024.02	3024.26	3022.49	3022.84	874	0	8
2025.03.24	03:30:00	3022.82	3023.40	3021.11	3021.57	1316	0	8
2025.03.24	03:45:00	3021.49	3021.66	3017.18	3018.45	1798	0	8
2025.03.24	04:00:00	3018.51	3023.43	3018.19	3023.05	2335	0	8
2025.03.24	04:15:00	3023.06	3023.71	3020.47	3020.82	2036	0	8
2025.03.24	04:30:00	3020.90	3025.70	3020.66	3023.77	1822	0	8
2025.03.24	04:45:00	3023.77	3023.95	3020.63	3020.88	1533	0	8
2025.03.24	05:00:00	3021.06	3024.47	3020.61	3023.13	1582	0	8
2025.03.24	05:15:00	3023.13	3023.65	3022.37	3023.25	967	0	8
2025.03.24	05:30:00	3023.24	3023.45	3016.96	3017.53	1533	0	8
2025.03.24	05:45:00	3017.52	3018.69	3013.69	3016.43	1823	0	8
2025.03.24	06:00:00	3016.40	3018.05	3016.05	3017.08	1038	0	8
2025.03.24	06:15:00	3017.08	3019.68	3016.76	3017.90	1177	0	8
2025.03.24	06:30:00	3017.86	3018.60	3015.49	3018.02	1195	0	8
2025.03.24	06:45:00	3018.02	3018.52	3016.57	3016.93	753	0	8
2025.03.24	07:00:00	3016.98	3018.57	3016.62	3018.07	920	0	8
